Text,Count
"RT @HectorRossete: Hoy di de alta a mi paciente mujer de 84 años, sobrevivió y venció al #COVID19, una historia más que te puede motivar.…",55
RT @DrPacoMoreno1: Yo también soy médico y también estoy indignado. Excelente reflexión del Dr. Alvarez Cordero #COVID19 #UsaCubrebocas  ht…,54
RT @DoRzeczy_pl: Lekarze i naukowcy ostrzegają przed szczepieniami na #COVID19 . Apelują do prezydenta @AndrzejDuda  i rządu @MorawieckiM…,51
RT @desdelamoncloa: 🔸No geolocaliza 🔸100% anónimo 🔸Al alcance de todos  Descarga la @AppRadarCovid y ayuda a los rastreadores del #COVID19.…,51
"RT @MontyBoa99: @NBCNews The cumulative total of U.S. #COVID19 cases now stands at 13,383,000.  Nearly 1/3 of the year's entire caseload ap…",50
"RT @yyV7HYIxaAqBCM1: Тест ПЦР по #COVID19  ціна  1200-1700 грн, в день роблять  50 тис, дохід - 60 млн. грн.  Зрозуміли, чому в них головне…",49
"RT @ChouhanShivraj: इंदौर और भोपाल में जहाँ कुछ इलाकों में #COVID19 संक्रमण बुरी तरह से फैला था, वहाँ लोगों ने सावधानी बरती और अच्छे परिणाम…",48
RT @WHO: There is an incredible story to tell about how #COVID19 vaccines are being developed.   Find out more 👇  https://t.co/J24IdagZVY,48
RT @ABCFactCheck: Was two-thirds of Federal Government debt accrued before #COVID19? https://t.co/EH3xvE9DcN #qanda #factcheck,47
"RT @UN: Access to #COVID19 services should be prioritized for vulnerable groups, including people living with HIV.  On Tuesday's #WorldAIDS…",47
"RT @CancilleriaVE: Vicepresidenta ejecutiva, Delcy Rodríguez informa que en las últimas 24 horas se registraron 354 casos de #COVID19, de l…",45
RT @trvrb: I don't think that this study by Basavaraju et al from @CDCgov can be taken as evidence that #COVID19 was circulating in the US…,45
RT @waEMD: There is a new tool to help stop the spread of #COVID19: YOUR PHONE. WA Notify can alert you if you’ve been near another user wh…,44
RT @GrassleyPress: Senator @ChuckGrassley has returned to the office after completing a quarantine due to testing positive for #COVID19.  “…,43
"RT @PeterbobBaze: Le #COVID19 a tué 1,4 personne sur 10 000 en Allemagne,  2 sur 10 000 en France. Faire prendre le risque d'un nouveau #Va…",43
"RT @YourAnonCentral: El Paso, Texas has run out of morgues; bodies of #COVID19 victims piling up, inmates &amp; national guard used to help wit…",43
"RT @france_soir: 📣L'indifférence à l'ivermectine tue ?   → irréfutablement efficace contre #COVID19, données très probantes, selon des étud…",43
RT @PabloFuente: #COVID19 Nadie quiere un regalo de Reyes dramático. Celebremos la Navidad en Julio.,41
RT @UMbalivalentine: Your twenties now extend to 32 to cover time lost to #COVID19,41
RT @ByJohnLMicek: Worth noting: Senator Mastriano has known since last week that he was #COVID19 positive and his office remained publicly…,40
"RT @davidmweissman: I'll ask you again @senatemajldr, why haven't you passed the two #COVID19 relief bills written by @HouseDemocrats?   @C…",40
"RT @CancilleriaVE: Canciller Jorge Arreaza: ""La irresponsabilidad de algunos gobernantes y gobiernos al subestimar el #COVID19 y al no pres…",39
RT @PinzonBueno: Muy preocupante este tipo de aglomeraciones. El #COVID19 está entre nosotros en las últimas semanas han fallecido más de 1…,39
"RT @momotchiii: Certains vaccins #COVID19 augmenteraient le risque d'infection du VIH? Les vaccins utilisant un virus ""vidé"" appelé adenovi…",39
RT @ABSCBNNews: ONGOING: CHED Chair Prospero de Vera and NTF Against #COVID19 Chief Implementer Carlito Galvez inspect facilities of Our La…,38
RT @AssoCovid: 🔴⚖️ Pour les personnes qui ont été infectées par la #COVID19 et à qui il a été refusé la prescription du protocole du Pr @ra…,38
RT @TheSouth4Biden: I have bronchitis/pneumonia. My sweet doctor called in meds.Get #COVID19 test results by Wed. She got teary eyed when s…,38
"RT @gill_godwin: Monday night: I try to be upbeat &amp; keep it real but today I heard my daughter has #COVID19. I'm a mom, I worry.  So tonigh…",38
"RT @itsnotheory: TV Show Good morning are doing a poll, lets have a less corrupt one. #COVID19   Should people be banned from pubs and rest…",38
"RT @paulreiddublin: This morning, the number of #COVID19 cases in hospital has come down again to 222 with 30 in ICU. Today, as society &amp; t…",37
RT @BogochIsaac: Moderna's #COVID19 vaccine final results are in...and are impressive:  -196 cases of covid: 185 in placbo &amp; 11 in vaccine…,36
RT @DrEricDing: Love this immunology jam so much. HT @ravenscimaven. #COVID19 https://t.co/VivP5762Y7,36
RT @VittorioSgarbi: #COVID19 Perché il Governo non ha mai pensato di acquistare i saturimetri da distribuire a ogni famiglia? Sono andato i…,36
RT @sonerolgun: Sabah 05’den  akşam 21’e kadar milyonlarca insan #COVID19 virüsü kuryeliği yapıp akşam eve getireceğiz. Hafta sonları da ev…,36
"RT @EricTopol: For #COVID19, a way to a man's brain is through the nose https://t.co/ESINsQxezy New @NatureNeuro by @HeppnerLab @ChariteBer…",35
"RT @Naveen_Odisha: As the world fights #COVID19, let us not forget that there are millions of people living with HIV/AIDS. On #WorldAIDSDay…",35
"RT @XpressBengaluru: Even as @moayush is asking people to fight #COVID19 by boosting their immunity, recent research by a Frankfurt-based f…",35
"RT @repcleaver: As #COVID19 continues to surge in every corner of the nation, the Senate must stop their obstruction and pass relief #ForTh…",35
RT @senrobportman: Congress should not leave in DC for the holidays until we've passed a bipartisan #COVID19 relief bill - one that include…,35
"RT @WHO: Despite the #COVID19 pandemic, the number of countries reporting disruptions in #HIV services has declined 📉 by almost 7⃣5⃣% since…",34
RT @EricTopol: The droplets and bubbles of #COVID19  by @ArghaManna @AnnalsofIM  https://t.co/VkjqCGwIFy Very informative fluid dynamic gra…,33
"RT @TorontoStar: The message is clear: the provinces may talk a lot about what they’re doing to deal with #COVID19, but it’s Ottawa that ha…",33
RT @ygjumi: 🧵男性アスリート（23歳）の方のスレッド🧵  #COVID19 により一過性脳虚血発作（TIA）を発症 （TIAは脳梗塞の前触れ発作）  肺と脳の損傷のため、恐らくもう二度と前のようにスポーツはできないだろうと診断される。  https://t.co/7…,33
RT @DrEricDing: POWERFUL:  📌Each marble = 1 death.  📌Each second of the video = 6 days.   Let this video sink in. #COVID19 is real. And it’…,32
RT @GobiernoMX: Conferencia de Prensa #COVID19 | 30 de noviembre de 2020 #GraciasPorCuidarnos https://t.co/KAP8Ro4tJO,32
RT @ajplus: This doctor wants to show you what it feels like to be in an ICU with #COVID19.  His warning: wear a mask. https://t.co/XzJk0wk…,32
RT @plamenpavlov: Este #COVID19  era más fuerte que tu #hermano. No puedo creer que te hayas ido tan joven a los 47 años. Eres único ... es…,32
"RT @porquetendencia: ""Grido"": Porque informan que Córdoba evalúa almacenar dosis de la vacuna contra el #COVID19 en sus heladeras https://t…",32
RT @CAgovernor: LIVE NOW: Governor @GavinNewsom provides an update on the state’s response to the #COVID19 pandemic. https://t.co/2Nkix67uR5,31
"RT @EricTopol: The legacy of @ScottWAtlas 130 days advising @realDonaldTrump  &gt;130,000 Americans died of #COVID19  &gt;9.4 million new confirm…",31
RT @adamboultonSKY: Interesting to hear @michaelgove base the case for #COVID19 tiers on “experts” most belonging to organisations with acr…,31
"RT @AvukatHG: #COVID19 ile mücadele tedbirleri arasında, günlük trafiği çok fazla olan adliyelerde iş yapan hukukçuları, personeli ve vatan…",30
"RT @EricTopol: Just out @NatureMedicine  How they broke a major #COVID19 outbreak ""by social distancing, including face mask wearing, thoro…",30
RT @Minsa_Peru: ACTUALIZACIÓN | Esta es la situación del #COVID19 en Perú hasta las 22:00 horas del 29 de noviembre. #PerúEstáEnNuestrasMan…,30
"RT @wef: This is how we prevent future pandemics, say 22 leading scientists https://t.co/1pcP0Cupfp  #COVID19 #Human https://t.co/9ytdqtci4Q",30
RT @CMOIreland: Europe has experienced increased #COVID19 mortality over recent weeks. If Ireland had the European average numbered deaths…,29
"RT @Craig_A_Spencer: Thankfully Scott Atlas is gone. Sadly the pandemic isn’t.  December will be the worst month for #COVID19 in the US, la…",29
RT @DrEricDing: I pray nobody has a visit hospital for any reason right now. #COVID19,29
"RT @DrPacoMoreno1: Más de 105,000 fallecidos y un México con el mayor número de casos por #COVID19 en lo que va de la pandemia. Exijamos: *…",29
RT @MahilaCongress: 🚨 India crosses 94 Lakh #COVID19 Cases   🦠Monumental Failure of Governance by BJP ! https://t.co/fUGjmAoLz6,29
"RT @Mediavenir: 🇫🇷 FLASH - Bilan #COVID19 du jour : 4 005 cas détectés, un chiffre en légère baisse par rapport à lundi dernier (4 452 cas)…",29
"RT @chrisvanderveen: In the middle of the worst #COVID19 hospitalization count since the start of this in Colorado, apparently some legisla…",29
RT @tmprowell: Updated efficacy results of NIAID/Moderna #COVID19 #vaccine trial (N=30K):   Vaccine group : 11 cases of symptomatic #SARSCo…,29
"RT @Die_Insider: Hallo @PeterAGebhardt, Sie wünschen sich Leichenberge, damit Sie glauben können, dass #COVID19 existiert?   Was ist falsch…",28
RT @FinMinIndia: FM Smt @nsitharaman talked about measures taken by India to address the challenges related to #COVID19 pandemic and provid…,28
RT @FinanceCanada: The government has a plan and will do whatever it takes to fight #COVID19 and support Canadians. Read the Fall Economic…,28
RT @Laurie_Garrett: I'll be on @MSNBC today at 5pm eastern with @NicolleDWallace talking about the likely post-Thanksgiving #COVID19 surge…,28
"RT @MinSoliSante: [#COVID19] Il est normal de se sentir anxieux ou stressé en cette période. Pour repérer un état de détresse psychique, 4…",28
"RT @lyne_ian: @GeorgieSmyth @cbcnewsbc PLEASE, RT  It's CRUCIAL that people know this.   All #COVID19 restrictions, are based on new “cases…",28
RT @BJHeart89: 🇮🇹 Quarantine Italian Style #COVID19 #QuarantineLife #Italiano https://t.co/U5ZshWIIkg,27
"RT @BryanDawsonUSA: Day 274, 11/29 stats  273,077 #COVID19 deaths 🔔272,779 Population: TOLEDO, OH 13,750,608 #coronavirus cases  Case Fatal…",27
"RT @CarlosdelRio7: With the US reporting 93,238 hospitalizations on Sunday with #COVID19 it means that ~ 20% of all hospitalized persons ha…",27
RT @ResisterSis20: @mitchellreports just said the @CDC_eHealth is playing God by choosing who first receives the #COVID19 vaccination. I co…,27
RT @ScienceMagazine: Case reports from 3 patients with severe #COVID19 who received lung transplants show the disease can cause extensive l…,27
RT @dw_espanol: Secuelas de la #COVID19 Cuando el paso del virus deja un cuerpo enfermo  Algunos pacientes que han sobrevivido el #Coronavi…,27
RT @ANI: Vaccination would depend on the efficacy of the vaccine &amp; our purpose is to break the chain of #COVID19 transmission. If we're abl…,26
"RT @HLGatell: Al 29 de noviembre de 2020 hay 1,107,071 casos confirmados #COVID19. Se han registrado 1,349,465 negativos, 105,655 defuncion…",26
"RT @MKNJPM: Situasi terkini 1 Disember 2020 #COVID19 di Malaysia : Sebanyak 1,472 kes baru menjadikan jumlah keseluruhan 67,169 kes.  https…",26
"RT @RedRising11: 🧐 China Blames #COVID19 on #Trump... Democrats: That’s right! @realDonaldTrump is a Misogynist Racist Murderer, let’s elec…",26
RT @BrigBourguignon: 🔵 Communiqué de presse - #COVID19 - Ouverture de 10 000 missions de @ServiceCivique auprès des personnes en situation…,25
RT @CAgovernor: TODAY: Governor @GavinNewsom will provide an update on the state’s response to the #COVID19 pandemic.  📹 Watch live at 12pm…,25
RT @Pedro_Plana: Situación actual de contagios en Venezuela A 260 días de lucha contra la pandemia del #COVID19 #FlexibilizacionAmplia ¡Cui…,25
"RT @lyne_ian: @DanScavino PLEASE, RT  It's CRUCIAL that people know this.   All #COVID19 restrictions, are based on new “cases of infection…",25
"RT @nknewsorg: BREAKING: New @WHO reports say that North Korea detected a total of 8,594 ""suspected"" #COVID19 cases so far, which includes…",25
RT @DrEricDing: ➡️ GOOD NEWS—First week of decrease in new #COVID19 cases worldwide since September.   ➡️ BAD NEWS—Not in the United States…,24
RT @EnriqueAlfaroR: Les dejo los indicadores Jalisco #COVID19 de esta semana. La ocupación general en hospitales públicos es menor al 25 %…,24
RT @ajplus: Vietnam has reported its first locally transmitted case of #COVID19 in 89 days.  The infected person is a relative of a flight…,24
"RT @celliottability: Ontario is reporting 1,746 cases of #COVID19. Locally, there are 622 new cases in Toronto, 390 in Peel and 217 in York…",24
RT @dadakim: 📣📣📣CALLING ALL SOCIAL SCIENTISTS📣📣📣  Why does #COVID19 impact vary across and within countries? Female leaders? Inequality? Va…,24
RT @dr_l_alexandre: C’est vraiment une très bonne nouvelle !  Le vaccin Moderna réduit de 94 % le risque d’attraper la #COVID19   MAIS   El…,24
"RT @nshealth: Today's locations for pop-up rapid #COVID19 testing:   🔹Wolfville: 117 Front Street, 1:30 - 8pm   🔹HRM: Community YMCA, 2269…",24
"RT @tom71266902: Just a whisper , are you covering up #COVID19  infections in Schools @NicolaSturgeon ? From what I’m hearing you are indee…",24
RT @DrWaqarRashid1: Good news. The dates confirm that infections were starting to fall pre-lockdown. #COVID19  https://t.co/65dWSo5nEf,23
"RT @HPA_MV: Today at 07:49am, a 75 year old Maldivian male admitted at HMF passed away.  This is the 47th #COVID19 death in the Maldives.…",23
"RT @JPenerangan: Situasi Semasa COVID-19 di Malaysia, 30 November 2020  Sumber: @KKMPutrajaya  #COVID19 #KitaTeguhKitaMenang #KomunikasiKit…",23
"RT @MINSAPCuba: Se confirmaron 51 nuevos casos de #COVID19, para un acumulado de 8 mil 284  en #Cuba 516 casos activos  513 con evolución c…",23
"RT @NatureNeuro: An autopsy study in individuals with #COVID19 suggests #SARSCoV2 may enter the brain through the nose, providing insight i…",23
RT @Shomes_quest: Desperate times needs more innovative measures to counter the aftermath of the #COVID19. Just like few months back we saw…,23
RT @altusda: Wow! The same Tyson Foods manager who organized betting pools on how many employees would get #COVID19 also lied to employees…,23
"RT @davidmweissman: @tedcruz If the GOP was the party of the working class, they would demand that Mitch McConnel passes the #COVID19 relie…",23
"RT @jkwan_md: #COVID19 in #Ontario [Nov 30]:  1746 new cases*, 8 deaths, 1320 resolved 39406 tests/day, 27388 pending, 4.4% pos 618 hospita…",23
RT @morethanmySLE: WATCH: Dr. Fauci warns in the upcoming weeks re: #COVID19  “We may see a surge upon a surge. We don’t want to frighten p…,23
"RT @MicahPollak: In terms of people currently hospitalized for #COVID19 per million residents, #Indiana ranks SECOND in the U.S. https://t.…",22
"RT @NoticiasONU: ""En países de Centro y Suramérica, los contagios de #COVID19 han bajado, pero no completamente. Hay que mirar a nivel subn…",22
RT @RafaelCarranza: NEW: U.S. border restrictions on asylum and to stop the spread of #COVID19 are driving a drastic surge in human smuggli…,22
RT @TelemetricoF1: ULTIMO MOMENTO Positivo en un test de #COVID19 @LewisHamilton  Queda afuera de #ShakirGP y duda para #abudhabigp  #F1 #F…,22
"RT @ajplus: Evictions have led to ~433,700 additional #COVID19 cases and nearly 11,000 deaths in the U.S. between March and early Sept, a n…",22
"RT @lyne_ian: @JackPosobiec PLEASE, RT  It's CRUCIAL that people know this.   All #COVID19 restrictions, are based on new “cases of infecti…",22
"RT @naretevduorp: Two numbers that shocked me.  1/3 of all the #COVID19 cases identified in the US from the beginning of the Pandemic, were…",22
"RT @CDCgov: We're all tired of #COVID19, but the fact is: COVID-19 is not tired of us. This pandemic isn't over &amp; cases are still rising ac…",21
"RT @CountyofLA: As new #COVID19 cases remain at alarming levels and the number of people hospitalized continues to increase, an updated LA…",21
"RT @DrEricDing: AIR POLLUTION ==&gt; increases #COVID19 transmission. New study says an 10% increase in sulfate, nitrogen dioxide and ammonium…",21
"RT @DrZweliMkhize: #COVID19 Statistics in SA as at 30 November.  Use the COVID Alert SA app to protect yourself, your loved ones and your c…",21
"RT @DrZweliMkhize: As of today, the total number of confirmed #COVID19 cases is 790 004, the total number of deaths is 21 535 and the total…",21
RT @HemsireVIP: Bir sağlık çalışanının #COVID19 testi pozitif olursa; -Yoğunbakıma yattıktan 20 gün   -Serviste yattıktan 14 gün -Evde taki…,21
RT @KawalCOVID19: Indonesia mengumumkan 5.092 kasus baru #COVID19 tgl 1 Dec 2020.  Total: 543.975 Kasus aktif: 72.015 (+595) Sembuh: 454.87…,21
"RT @LMSTSenderovitz: I denne tråd forklarer jeg kort, hvordan #COVID19 #vacciner er udviklet og vil blive godkendt - lidt mere i detaljer.…",21
"RT @RogerJ_01: We've decorated a tree at @tatton_park with over 1,000 red ribbons. Each one represents nine of the lives lost to #COVID19 i…",21
RT @SkyNews: Why might the chopping down of a tree in the Amazon make someone in Dundee more likely to die of #COVID19? On the Sky News #Da…,21
"RT @TugalAytekin: 📌İbrahim KABOĞLU ,  Ekranlara Çıkıp GİZLİ  ANAYASA Çalışmasını Açık Ve Net Anlatmadan Bu Konu Kapanmaz ❗️  #COVID19 #pand…",21
"RT @UNSRCulture: Sharing stories of those who've lost their lives to #COVID19 is so important  #MayaAngelou wrote: ""History, despite its wr…",21
RT @mojos55: Can i ask ? Why is the #COVID19 #vaccine not a Global issue financed by every single country .. To be given to every single pe…,21
"RT @morethanmySLE: Dr. Fauci: ""It's astounding how many people, in certain parts of the country still think #COVID19 is a hoax.""  270K+ hav…",21
"RT @CDCgov: Everyone reacts differently to stressful situations like #COVID19. You may feel anxious, angry, sad, or overwhelmed. If you or…",20
"RT @CTZebra: Amanda “Mandy” Gonzales, 34yo Nurse, Rio Grande Valley, Texas, died of #COVID19 11/23. She had beautiful hazel eyes and was ve…",20
RT @ChadwickWiz: Another week and multiple @NFL teams are “ravaged” by #COVID19 again. Each week. After week. Multiple positive test!  .  N…,20
"RT @GovMikeDeWine: Dr. Andy Thomas of @OSUWexMed: Ohio crossed 5,000 inpatients w/ #COVID19 in Ohio's hospitals for the first time. On Nov.…",20
RT @MumbaiMirror: Mumbai airport ranks first in the list of India's safest airport in #COVID19 times. https://t.co/DoUcwZPoC0,20
"RT @MuniSPS0501: En este tiempo es vital proteger a tus hijos contra la #COVID19, especialmente si tienen que convivir con otros niños. Ens…",20
"RT @MyHEALTHKKM: Kes positif mengikut negeri (setakat 01/12/2020, 12 pm)  Confirmed cases by state (as of 01/12/2020, 12 pm)  #COVID19 #Kit…",20
"RT @NoticiasONU: EN VIVO. Rueda de prensa de la OMA sobre el #COVID19 con @DrTedros , @DrMikeRyan y @mvankerkhove",20
RT @Paty_OrtizC: Esta noche tuve la oportunidad de acompañar al Dr. Hugo López-Gatell en la conferencia de prensa #COVID19; compartiendo al…,20
RT @SF_emergency: #COVID19 infections are rising in #SF. Starting tonight at 10PM we will be under the State’s Limited Stay at Home Order r…,20
RT @TANACHILE: Se viene un segunda ola de #COVID19 mucho más fuerte que la primera y nosotros con la imposibilidad de sacar plata de las AF…,20
"RT @cpeedell: No doubt that lockdowns are terrible for mental health problems, but so is the trauma of losing loved ones to #COVID19 infect…",20
RT @editorsuresh: JUST IN: Moderna vaccine found to be 100% effective against severe #COVID19.,20
RT @j_mcelroy: There's only so many times I can talk about how uncontrolled the spread of #COVID19 in Fraser Valley South has been.  But ne…,20
"RT @jesusortegam: Ya son más de trescientos mil las personas fallecidas por #COVID19 que, según sus propias palabras, “le están cayendo com…",20
RT @krismeloche: NL Premier Andrew Furey is calling out misinformation online about #COVID19 &amp; vaccines. He states misinformation &amp; conspir…,20
"RT @msaludpy: 📈 Contagios por #COVID19 en franco aumento  El ritmo de duplicación de casos se muestra más acelerado que la semana anterior,…",20
"RT @tvlofficiel: 🎥 [LE JT]  💉 #COVID19 : Alors même que les #vaccins en sont toujours au stade d’essai, la Haute Autorité de Santé s’emball…",20
Wuhan #COVID19,20
"RT @CCOOSanidadMad: Pueden las empresas obligar a trabajadorxs a vacunarse #COVID19 ⁉️  ⚠️ No, no pueden   Pueden negar el acceso a un cont…",19
"RT @CancilleriaVE: La vicepresidenta ejecutiva, Delcy Rodríguez informa el lamentable fallecimiento de tres personas por el #COVID19, este…",19
RT @Cartabellotta: Girarsi indietro per non commettere gli stessi errori #COVID19   #coronavirus https://t.co/UZcDyrZImn,19
"RT @Drmartyufml: Le risque d’hospitalisation pour les soignants au contact du #COVID19 est de 3,3 fois celui de la population generale, leu…",19
"RT @JuanMarin_Cs: El 98,23% de los espacios educativos andaluces están libres de #COVID19. De los más de 7.000 centros, ninguno se encuentr…",19
"RT @PIB_India: 📡LIVE NOW📡  Media briefing on current #COVID19 situation in the country  📍National Media Centre, New Delhi  Watch on PIB's🔽…",19
RT @Yolanda_Diaz_: Quizá la #COVID19 nos permita entender mejor la deuda que nuestra sociedad tiene con las personas que conviven con el VI…,19
RT @ajplus: The U.S. reported 4 million new cases of #COVID19 in November — more cases in a month than almost every other country's total s…,19
RT @alex_scacco: 🚨 CALLING ALL SOCIAL SCIENTISTS 🚨 Why does #COVID19 impact vary across and within countries? Female leaders? Inequality? V…,19
"RT @eLHurryKoRn: ""Orang Arab Pengecut, Raja Salman Kehilangan Iman""  Yahya Waloni (yg katanya ustadz) : Virus #COVID19 hanya menyerang oran…",19
